"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 14 22:00:42 CST 2020","Fri Feb 14 22:00:46 CST 2020","4044","test_case","test_login_pytest","TestLogin","","","test_login_01_error[test_info0]","手机号码为空"
"passed","Fri Feb 14 22:00:51 CST 2020","Fri Feb 14 22:00:59 CST 2020","8033","test_case","test_login_pytest","TestLogin","","","test_login_01_error[test_info1]","手机号码为空"
